"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration"
"2020_K19_15";"K19_15";"2020";"incubation1";"f";"43047";0;0;NA;2;53625
"2020_K19_15";"K19_15";"2020";"incubation1";"m";"55685";0;0;NA;2;42551
"2020_K19_15";"K19_15";"2020";"incubation2";"f";"43047";23;1;23;3;49155,3333333333
"2020_K19_15";"K19_15";"2020";"incubation2";"m";"55685";0;0;NA;2;27526
"2020_K19_22";"K19_22";"2020";"incubation1";"f";"55684";0;0;NA;2;33200
"2020_K19_22";"K19_22";"2020";"incubation1";"m";"48561";30;1;30;2;97989
"2020_K19_22";"K19_22";"2020";"incubation2";"f";"55684";0;0;NA;2;42718
"2020_K19_22";"K19_22";"2020";"incubation2";"m";"48561";0;0;NA;2;63504,5
"2020_K19_29";"K19_29";"2020";"incubation1";"f";"55683";243;2;121,5;3;42262,3333333333
"2020_K19_29";"K19_29";"2020";"incubation1";"m";"55686";5146;3;1715,33333333333;3;17579,3333333333
"2020_K19_29";"K19_29";"2020";"incubation2";"f";"55683";20;1;20;3;33981,6666666667
"2020_K19_29";"K19_29";"2020";"incubation2";"m";"55686";1720;1;1720;2;53330,5
"2020_K19_29";"K19_29";"2020";"incubation3";"f";"55683";694;1;694;3;33196
"2020_K19_29";"K19_29";"2020";"incubation3";"m";"55686";772;2;386;3;26625,3333333333
"2020_K19_30";"K19_30";"2020";"incubation1";"f";"46102";0;0;NA;3;40355,6666666667
"2020_K19_30";"K19_30";"2020";"incubation1";"m";"43065";0;0;NA;1;67774
"2020_K19_30";"K19_30";"2020";"incubation2";"f";"46102";0;0;NA;3;33258,6666666667
"2020_K19_30";"K19_30";"2020";"incubation2";"m";"43065";0;0;NA;2;56873
"2020_K8";"K8";"2020";"incubation1";"f";"55404";610;2;305;9;13724,1111111111
"2020_K8";"K8";"2020";"incubation1";"m";"44931";240;4;60;8;12691,625
"2020_K8";"K8";"2020";"incubation2";"f";"55404";0;0;NA;3;28740
"2020_K8";"K8";"2020";"incubation2";"m";"44931";35;2;17,5;3;42760
"2020_K8";"K8";"2020";"incubation3";"f";"55404";441;1;441;7;11999,1428571429
"2020_K8";"K8";"2020";"incubation3";"m";"44931";431;3;143,666666666667;6;17931,3333333333
"2020_W28N";"W28N";"2020";"incubation1";"f";"26953";0;0;NA;1;44097
"2020_W28N";"W28N";"2020";"incubation1";"m";"46100";32;1;32;3;57548,6666666667
"2020_W28N";"W28N";"2020";"incubation2";"f";"26953";0;0;NA;2;48851,5
"2020_W28N";"W28N";"2020";"incubation2";"m";"46100";0;0;NA;2;47913,5
"2020_W39";"W39";"2020";"incubation1";"f";"50152";505;4;126,25;10;12803
"2020_W39";"W39";"2020";"incubation1";"m";"46028";782;5;156,4;15;4804,53333333333
"2020_W39";"W39";"2020";"incubation2";"f";"50152";0;0;NA;3;32439,6666666667
"2020_W39";"W39";"2020";"incubation2";"m";"46028";25;1;25;2;40423
"2020_W39";"W39";"2020";"incubation3";"f";"50152";778;3;259,333333333333;9;16120,3333333333
"2020_W39";"W39";"2020";"incubation3";"m";"46028";65;1;65;7;10575,1428571429
"2020_W39B";"W39B";"2020";"incubation1";"f";"50167";1677;10;167,7;28;2091,82142857143
"2020_W39B";"W39B";"2020";"incubation1";"m";"50327";4797;15;319,8;67;1860,5223880597
"2020_W39B";"W39B";"2020";"incubation2";"f";"50167";234;3;78;9;12940
"2020_W39B";"W39B";"2020";"incubation2";"m";"50327";397;6;66,1666666666667;26;3919,88461538462
"2020_W39B";"W39B";"2020";"incubation3";"f";"50167";2122;4;530,5;15;6609,46666666667
"2020_W39B";"W39B";"2020";"incubation3";"m";"50327";486;6;81;27;2977,44444444444
"2020_W40";"W40";"2020";"incubation1";"f";"43817";626;12;52,1666666666667;21;7228,14285714286
"2020_W40";"W40";"2020";"incubation1";"m";"41260";1316;17;77,4117647058823;43;1622,83720930233
"2020_W40";"W40";"2020";"incubation2";"f";"43817";113;1;113;2;47695,5
"2020_W40";"W40";"2020";"incubation2";"m";"41260";1428;10;142,8;14;6988,5
"2020_W40";"W40";"2020";"incubation3";"f";"43817";421;5;84,2;9;8826,22222222222
"2020_W40";"W40";"2020";"incubation3";"m";"41260";1220;9;135,555555555556;22;5740,18181818182
"2020_W41J";"W41J";"2020";"incubation1";"f";"44955";350;7;50;23;5149,30434782609
"2020_W41J";"W41J";"2020";"incubation1";"m";"26975";3879;20;193,95;70;1274,5
"2020_W41J";"W41J";"2020";"incubation2";"f";"44955";1458;4;364,5;8;15662,625
"2020_W41J";"W41J";"2020";"incubation2";"m";"26975";6698;7;956,857142857143;10;7303,9
"2020_W41J";"W41J";"2020";"incubation3";"f";"44955";18;1;18;3;47518
"2020_W41J";"W41J";"2020";"incubation3";"m";"26975";3677;8;459,625;13;5762,07692307692
"2020_W49";"W49";"2020";"incubation1";"f";"50492";0;0;NA;6;14969,8333333333
"2020_W49";"W49";"2020";"incubation1";"m";"43858";0;0;NA;10;11626,2
"2020_W49";"W49";"2020";"incubation2";"f";"50492";137;1;137;2;61193,5
"2020_W49";"W49";"2020";"incubation2";"m";"43858";56;1;56;8;12428,875
"2020_W49";"W49";"2020";"incubation3";"f";"50492";129;1;129;3;43636,6666666667
"2020_W49";"W49";"2020";"incubation3";"m";"43858";0;0;NA;6;15445
"2020_W6";"W6";"2020";"incubation1";"f";"50099";717;11;65,1818181818182;33;2352,24242424242
"2020_W6";"W6";"2020";"incubation1";"m";"50088";464;11;42,1818181818182;35;3802,2
"2020_W6";"W6";"2020";"incubation2";"f";"50099";244;3;81,3333333333333;7;15641
"2020_W6";"W6";"2020";"incubation2";"m";"50088";386;2;193;11;9826
"2020_W6";"W6";"2020";"incubation3";"f";"50099";533;8;66,625;31;2630,06451612903
"2020_W6";"W6";"2020";"incubation3";"m";"50088";313;7;44,7142857142857;19;8191,8947368421
"2021_101";"101";"2021";"incubation2";"f";"50161";27;1;27;5;14480
"2021_101";"101";"2021";"incubation2";"m";"48567";54;1;54;4;31714,5
"2021_101";"101";"2021";"incubation3";"f";"50161";373;2;186,5;3;24189
"2021_101";"101";"2021";"incubation3";"m";"48567";169;2;84,5;4;33147
"2021_113_41";"113_41";"2021";"incubation1";"f";"44892";1170;4;292,5;9;10801,3333333333
"2021_113_41";"113_41";"2021";"incubation1";"m";"46155";40307;4;10076,75;4;9599,75
"2021_113_41";"113_41";"2021";"incubation2";"f";"44892";124;1;124;3;33931,3333333333
"2021_113_41";"113_41";"2021";"incubation2";"m";"46155";75;1;75;2;76356
"2021_113_41";"113_41";"2021";"incubation3";"f";"44892";563;4;140,75;6;19056,5
"2021_113_41";"113_41";"2021";"incubation3";"m";"46155";0;0;NA;2;58397,5
"2021_11_58";"11_58";"2021";"incubation1";"f";"55405";525;8;65,625;17;7441,23529411765
"2021_11_58";"11_58";"2021";"incubation1";"m";"26937";13884;1;13884;6;10802,8333333333
"2021_11_58";"11_58";"2021";"incubation2";"f";"55405";124;3;41,3333333333333;11;8832
"2021_11_58";"11_58";"2021";"incubation2";"m";"26937";59;2;29,5;11;8993,63636363636
"2021_11_58";"11_58";"2021";"incubation3";"f";"55405";0;0;NA;1;90782
"2021_11_58";"11_58";"2021";"incubation3";"m";"26937";0;0;NA;2;57690,5
"2021_D15_5";"D15_5";"2021";"incubation1";"f";"26555";0;0;NA;2;48405,5
"2021_D15_5";"D15_5";"2021";"incubation1";"m";"55401";72;1;72;2;39226,5
"2021_D15_5";"D15_5";"2021";"incubation2";"f";"26555";91;2;45,5;5;18719,6
"2021_D15_5";"D15_5";"2021";"incubation2";"m";"55401";238;2;119;5;22163,2
"2021_D15_5";"D15_5";"2021";"incubation3";"f";"26555";19;1;19;3;48252
"2021_D15_5";"D15_5";"2021";"incubation3";"m";"55401";142;1;142;1;71073
"2021_D15_6";"D15_6";"2021";"incubation1";"f";"43087";201;1;201;3;43073,6666666667
"2021_D15_6";"D15_6";"2021";"incubation1";"m";"50209";0;0;NA;6;10202,5
"2021_D15_6";"D15_6";"2021";"incubation2";"f";"43087";0;0;NA;3;25669,3333333333
"2021_D15_6";"D15_6";"2021";"incubation2";"m";"50209";32804;1;32804;9;10157,6666666667
"2021_D15_6";"D15_6";"2021";"incubation3";"f";"43087";481;2;240,5;3;37321,6666666667
"2021_D15_6";"D15_6";"2021";"incubation3";"m";"50209";0;0;NA;2;55526,5
"2021_D16_1";"D16_1";"2021";"incubation1";"f";"55449";487;5;97,4;12;6297,41666666667
"2021_D16_1";"D16_1";"2021";"incubation1";"m";"48455";2434;4;608,5;13;9850,07692307692
"2021_D16_1";"D16_1";"2021";"incubation2";"f";"55449";146;1;146;4;24755
"2021_D16_1";"D16_1";"2021";"incubation2";"m";"48455";0;0;NA;4;28733,25
"2021_D16_1";"D16_1";"2021";"incubation3";"f";"55449";0;0;NA;2;28792,5
"2021_D16_1";"D16_1";"2021";"incubation3";"m";"48455";0;0;NA;2;60915
"2021_D16_10";"D16_10";"2021";"incubation1";"f";"55418";2140;3;713,333333333333;11;6621,45454545455
"2021_D16_10";"D16_10";"2021";"incubation1";"m";"48559";1774;6;295,666666666667;13;10056,3076923077
"2021_D17_16";"D17_16";"2021";"incubation1";"f";"50165";37757;1;37757;4;21801,5
"2021_D17_16";"D17_16";"2021";"incubation1";"m";"50172";402;6;67;11;7679,27272727273
"2021_D17_16";"D17_16";"2021";"incubation2";"f";"50165";25;1;25;2;40677,5
"2021_D17_16";"D17_16";"2021";"incubation2";"m";"50172";0;0;NA;1;99694
"2021_D17_16";"D17_16";"2021";"incubation3";"f";"50165";0;0;NA;2;43241
"2021_D17_16";"D17_16";"2021";"incubation3";"m";"50172";121;1;121;4;28404,25
"2021_K16_4";"K16_4";"2021";"incubation1";"f";"55413";0;0;NA;1;93882
"2021_K16_4";"K16_4";"2021";"incubation1";"m";"55402";3552;8;444;9;9811,77777777778
"2021_K16_4";"K16_4";"2021";"incubation2";"f";"55413";0;0;NA;1;106949
"2021_K16_4";"K16_4";"2021";"incubation2";"m";"55402";464;4;116;6;13530,5
"2021_K16_4";"K16_4";"2021";"incubation3";"f";"55413";0;0;NA;2;74843,5
"2021_K16_4";"K16_4";"2021";"incubation3";"m";"55402";200;2;100;3;22724,3333333333
"2021_K17_13";"K17_13";"2021";"incubation1";"f";"55406";0;0;NA;10;10612,4
"2021_K17_13";"K17_13";"2021";"incubation1";"m";"50496";0;0;NA;12;7890
"2021_K17_13";"K17_13";"2021";"incubation2";"f";"55406";0;0;NA;1;75084
"2021_K17_13";"K17_13";"2021";"incubation2";"m";"50496";82;1;82;3;35379,3333333333
"2021_K17_13";"K17_13";"2021";"incubation3";"f";"55406";9;1;9;2;46874,5
"2021_K17_13";"K17_13";"2021";"incubation3";"m";"50496";130;1;130;3;44478
"2021_K19_22";"K19_22";"2021";"incubation1";"f";"55684";0;0;NA;3;33598
"2021_K19_22";"K19_22";"2021";"incubation1";"m";"48561";0;0;NA;2;48911
"2021_K8";"K8";"2021";"incubation1";"f";"55404";0;0;NA;8;16474,25
"2021_K8";"K8";"2021";"incubation1";"m";"44931";160;3;53,3333333333333;15;5734,4
"2021_K8";"K8";"2021";"incubation2";"f";"55404";31481;1;31481;2;20385,5
"2021_K8";"K8";"2021";"incubation2";"m";"44931";0;0;NA;7;17872,4285714286
"2021_K8";"K8";"2021";"incubation3";"f";"55404";22659;7;3237;8;17937,625
"2021_K8";"K8";"2021";"incubation3";"m";"44931";0;0;NA;1;52109
"2021_W39";"W39";"2021";"incubation2";"f";"50152";0;0;NA;2;44172,5
"2021_W39";"W39";"2021";"incubation2";"m";"46070";0;0;NA;2;48543,5
"2021_W39";"W39";"2021";"incubation3";"f";"50152";20765;2;10382,5;3;49784,3333333333
"2021_W39";"W39";"2021";"incubation3";"m";"46070";0;0;NA;1;44602
"2021_W40";"W40";"2021";"incubation1";"f";"43817";353;6;58,8333333333333;14;10641
"2021_W40";"W40";"2021";"incubation1";"m";"41260";2468;8;308,5;38;2087,81578947368
"2021_W40";"W40";"2021";"incubation2";"f";"43817";257;4;64,25;13;8191,61538461538
"2021_W40";"W40";"2021";"incubation2";"m";"41260";935;10;93,5;27;4001,18518518519
"2021_W40";"W40";"2021";"incubation3";"f";"43817";360;5;72;6;18545,8333333333
"2021_W40";"W40";"2021";"incubation3";"m";"41260";853;9;94,7777777777778;22;4330,86363636364
"2021_W41J";"W41J";"2021";"incubation1";"f";"44955";643;4;160,75;6;22179,8333333333
"2021_W41J";"W41J";"2021";"incubation1";"m";"26975";5052;9;561,333333333333;13;5437,15384615385
"2021_W41J";"W41J";"2021";"incubation2";"f";"44955";0;0;NA;2;56583,5
"2021_W41J";"W41J";"2021";"incubation2";"m";"26975";410;2;205;2;48666,5
"2021_W41J";"W41J";"2021";"incubation3";"f";"44955";36;1;36;2;63001,5
"2021_W41J";"W41J";"2021";"incubation3";"m";"26975";2129;1;2129;3;30324,6666666667
"2021_W6";"W6";"2021";"incubation1";"f";"50099";834;9;92,6666666666667;17;4553,94117647059
"2021_W6";"W6";"2021";"incubation1";"m";"50088";315;4;78,75;25;6202,44
"2021_W6";"W6";"2021";"incubation2";"f";"50099";167;4;41,75;17;4803,35294117647
"2021_W6";"W6";"2021";"incubation2";"m";"50088";143;3;47,6666666666667;16;8089,375
