"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"91";2020;"incubation3";"11_58";"complete";11717;28;418,464285714286;"11_58_incubation3_20";34,42;28
"92";2020;"incubation3";"14_6K";"failed chick";1064;8;133;"14_6K_incubation3_20";10,44;92
"93";2020;"incubation3";"D17_8";"failed chick";1729;4;432,25;"D17_8_incubation3_20";18,62;60
"94";2020;"incubation3";"K17_13";"complete";48;1;48;"K17_13_incubation3_20";1,89;177
"95";2020;"incubation3";"K19_29";"complete";1466;3;488,666666666667;"K19_29_incubation3_20";18,39;62
"96";2020;"incubation3";"K8";"complete";872;4;218;"K8_incubation3_20";11,33;88
"97";2020;"incubation3";"W39";"complete";843;4;210,75;"W39_incubation3_20";11,03;89
"98";2020;"incubation3";"W39B";"complete";2612;9;290,222222222222;"W39B_incubation3_20";19,21;58
"99";2020;"incubation3";"W40";"complete";1641;14;117,214285714286;"W40_incubation3_20";12,5;79
"100";2020;"incubation3";"W41J";"complete";3695;9;410,555555555556;"W41J_incubation3_20";23,83;45
"101";2020;"incubation3";"W49";"complete";129;1;129;"W49_incubation3_20";4,67;137
"102";2020;"incubation3";"W6";"complete";846;15;56,4;"W6_incubation3_20";7,39;111
"103";2021;"incubation1";"101";"complete";122893;17;7229;"101_incubation1_21";83,99;7
"104";2021;"incubation1";"113_41";"complete";41519;7;5931,28571428571;"113_41_incubation1_21";70,4;11
"105";2021;"incubation1";"11_58";"complete";14409;9;1601;"11_58_incubation1_21";46,75;18
"106";2021;"incubation1";"D15_5";"complete";72;1;72;"D15_5_incubation1_21";2,77;165
"107";2021;"incubation1";"D15_6";"complete";201;1;201;"D15_6_incubation1_21";6,82;115
"108";2021;"incubation1";"D16_1";"complete";2921;9;324,555555555556;"D16_1_incubation1_21";20,64;52
"109";2021;"incubation1";"D16_10";"complete";3914;9;434,888888888889;"D16_10_incubation1_21";24,65;42
"110";2021;"incubation1";"D17_16";"complete";38159;7;5451,28571428571;"D17_16_incubation1_21";68,65;13
"111";2021;"incubation1";"K16_4";"complete";3552;8;444;"K16_4_incubation1_21";23,99;44
"112";2021;"incubation1";"K17_13";"complete";0;0;0;"K17_13_incubation1_21";0;208
"113";2021;"incubation1";"K19_22";"complete";0;0;0;"K19_22_incubation1_21";0;208
"114";2021;"incubation1";"K8";"complete";188;2;94;"K8_incubation1_21";4,27;144
"115";2021;"incubation1";"W40";"complete";2821;13;217;"W40_incubation1_21";18,42;61
"116";2021;"incubation1";"W41J";"complete";5695;13;438,076923076923;"W41J_incubation1_21";27,92;35
"117";2021;"incubation1";"W6";"complete";1149;13;88,3846153846154;"W6_incubation1_21";9,74;95
"118";2021;"incubation2";"101";"complete";81;2;40,5;"101_incubation2_21";1,95;176
"119";2021;"incubation2";"113_41";"complete";199;2;99,5;"113_41_incubation2_21";4,5;141
"120";2021;"incubation2";"11_58";"complete";183;5;36,6;"11_58_incubation2_21";2,65;167
