"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration";"uCode";"uName";"NI";"Rank"
"2020_101";"101";2020;"incubation1";"m";48567;5214;4;1303,5;25;5609,52;"2020_incubation1_101_m";"2020_incubation1_101_m";41,81;29
"2020_101";"101";2020;"incubation2";"f";50161;0;0;NA;6;9177,5;"2020_incubation2_101_f";"2020_incubation2_101_f";0;327
"2020_101";"101";2020;"incubation2";"m";48567;539;4;134,75;11;14174,9090909091;"2020_incubation2_101_m";"2020_incubation2_101_m";10,73;133
"2020_113_10";"113_10";2020;"incubation1";"f";56613;0;0;NA;7;19980,1428571429;"2020_incubation1_113_10_f";"2020_incubation1_113_10_f";0;327
"2020_113_10";"113_10";2020;"incubation1";"m";50135;287;2;143,5;8;10165,375;"2020_incubation1_113_10_m";"2020_incubation1_113_10_m";8,03;162
"2020_113_10";"113_10";2020;"incubation2";"f";56613;0;0;NA;3;42473;"2020_incubation2_113_10_f";"2020_incubation2_113_10_f";0;327
"2020_113_10";"113_10";2020;"incubation2";"m";50135;0;0;NA;3;35307,3333333333;"2020_incubation2_113_10_m";"2020_incubation2_113_10_m";0;327
"2020_113_10";"113_10";2020;"incubation3";"f";56613;0;0;NA;2;79598;"2020_incubation3_113_10_f";"2020_incubation3_113_10_f";0;327
"2020_113_10";"113_10";2020;"incubation3";"m";50135;132;1;132;2;38015;"2020_incubation3_113_10_m";"2020_incubation3_113_10_m";5,54;204
"2020_113_1A";"113_1A";2020;"incubation1";"f";50244;0;0;NA;1;84807;"2020_incubation1_113_1A_f";"2020_incubation1_113_1A_f";0;327
"2020_113_1A";"113_1A";2020;"incubation1";"m";55439;0;0;NA;2;56049,5;"2020_incubation1_113_1A_m";"2020_incubation1_113_1A_m";0;327
"2020_113_1A";"113_1A";2020;"incubation2";"f";50244;492;1;492;3;26578,3333333333;"2020_incubation2_113_1A_f";"2020_incubation2_113_1A_f";16,02;95
"2020_113_1A";"113_1A";2020;"incubation2";"m";55439;474;1;474;2;55583,5;"2020_incubation2_113_1A_m";"2020_incubation2_113_1A_m";15,6;98
