"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2020";"incubation3";"14_6K";"failed chick";1064;8;133;"14_6K_incubation3_20";10,44;92;NA;192;2020-07-08 23:54:21.5;190;NA;2
"2020";"incubation3";"D17_8";"failed chick";1729;4;432,25;"D17_8_incubation3_20";18,62;60;NA;192;2020-07-09 00:09:40.5;191;NA;1
"2020";"incubation3";"K17_13";"complete";48;1;48;"K17_13_incubation3_20";1,89;177;NA;195;2020-07-08 23:27:20;190;NA;5
"2020";"incubation3";"K19_29";"complete";1466;3;488,666666666667;"K19_29_incubation3_20";18,39;62;NA;199;2020-07-12 20:38:21.5;194;NA;5
"2020";"incubation3";"K8";"complete";872;4;218;"K8_incubation3_20";11,33;88;NA;192;2020-07-09 00:31:09;191;NA;1
"2020";"incubation3";"W39";"complete";843;4;210,75;"W39_incubation3_20";11,03;89;NA;193;2020-07-08 23:44:48;190;NA;3
"2020";"incubation3";"W39B";"complete";2612;9;290,222222222222;"W39B_incubation3_20";19,21;58;NA;200;2020-07-09 00:45:16;191;NA;9
"2020";"incubation3";"W40";"complete";1641;14;117,214285714286;"W40_incubation3_20";12,5;79;NA;194;2020-07-08 23:45:18;190;NA;4
"2020";"incubation3";"W41J";"complete";3695;9;410,555555555556;"W41J_incubation3_20";23,83;45;NA;194;2020-07-08 23:49:27;190;NA;4
"2020";"incubation3";"W49";"complete";129;1;129;"W49_incubation3_20";4,67;137;NA;191;2020-07-08 22:48:31.5;190;NA;1
"2020";"incubation3";"W6";"complete";846;15;56,4;"W6_incubation3_20";7,39;111;NA;191;2020-07-09 00:17:42;191;NA;0
"2021";"incubation1";"101";"complete";122893;17;7229;"101_incubation1_21";83,99;7;171;198;2021-06-24 03:47:20;175;27;23
"2021";"incubation1";"113_41";"complete";41519;7;5931,28571428571;"113_41_incubation1_21";70,4;11;170;200;2021-06-22 23:23:42;173;30;27
"2021";"incubation1";"11_58";"complete";14409;9;1601;"11_58_incubation1_21";46,75;18;171;200;2021-06-24 03:37:07;175;29;25
"2021";"incubation1";"D15_5";"complete";72;1;72;"D15_5_incubation1_21";2,77;165;176;204;2021-06-29 04:57:54.5;180;28;24
"2021";"incubation1";"D15_6";"complete";201;1;201;"D15_6_incubation1_21";6,82;115;171;200;2021-06-24 03:57:14.5;175;29;25
"2021";"incubation1";"D16_1";"complete";2921;9;324,555555555556;"D16_1_incubation1_21";20,64;52;173;202;2021-06-26 00:41:19;177;29;25
"2021";"incubation1";"D16_10";"complete";3914;9;434,888888888889;"D16_10_incubation1_21";24,65;42;169;198;2021-06-22 05:17:05;173;29;25
"2021";"incubation1";"D17_16";"complete";38159;7;5451,28571428571;"D17_16_incubation1_21";68,65;13;168;199;2021-06-22 02:10:20.5;173;31;26
"2021";"incubation1";"K16_4";"complete";3552;8;444;"K16_4_incubation1_21";23,99;44;175;204;2021-06-27 23:21:59.5;178;29;26
"2021";"incubation1";"K17_13";"complete";0;0;0;"K17_13_incubation1_21";0;208;172;201;2021-06-24 23:08:49.5;175;29;26
"2021";"incubation1";"K19_22";"complete";0;0;0;"K19_22_incubation1_21";0;208;168;198;2021-06-21 08:31:14;172;30;26
"2021";"incubation1";"K8";"complete";188;2;94;"K8_incubation1_21";4,27;144;171;201;2021-06-24 03:32:31;175;30;26
